MACsrc,ip_src,ip_dst,op,entropia_src,entropia_dst,cant_pkt_arp,cant_pkt_total
00:11:85:fe:47:cf,10.2.0.249,10.2.0.67,1,4.52608911119,3.68509936141,554,1261
00:1b:21:7f:6c:fd,10.2.0.254,10.2.0.205,1,4.52779268427,3.68831823133,555,1262
84:63:d6:a1:b9:fc,0.0.0.0,169.254.139.211,1,4.53020741327,3.69418581989,556,1264
98:4b:4a:17:25:4d,10.2.200.179,10.2.203.254,1,4.52728258846,3.68933725286,557,1272
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.5296988686,3.69080478128,558,1273
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.52720699853,3.68597965123,559,1274
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.52936595445,3.68735408264,560,1289
84:63:d6:a1:b9:fc,0.0.0.0,169.254.139.211,1,4.53152180579,3.69267632293,561,1291
a8:06:00:10:71:8e,10.2.203.25,10.2.203.254,1,4.5289352424,3.68787823635,562,1295
8c:3a:e3:11:af:06,10.2.202.213,10.2.203.254,1,4.52644067943,3.68309266718,563,1297
00:1b:21:7f:6c:fd,10.2.203.254,10.2.200.149,1,4.52453527707,3.6953229402,564,1301
00:27:0e:38:3c:d6,10.2.6.3,10.2.6.205,1,4.52647012157,3.69659315577,565,1305
